%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.status,field.status.service,field.latitude,field.longitude,field.altitude,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
1658627666430663336,16909,1658627666399701399,gps,2,0,37.2406518,126.7740938,28.78,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.000484,2
1658627666533500616,16910,1658627666499701385,gps,2,0,37.2406533,126.7740948,28.776,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.0004,2
1658627666634426841,16911,1658627666599701371,gps,2,0,37.2406548,126.7740958,28.758,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.000361,2
1658627666732593133,16912,1658627666699701357,gps,2,0,37.2406563,126.7740968,28.75,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.000324,2
1658627666837194491,16913,1658627666799701343,gps,2,0,37.2406578,126.7740978,28.756,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.000324,2
1658627666933653281,16914,1658627666899701329,gps,2,0,37.2406594,126.7740989,28.762,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.000324,2
1658627667078510108,16915,1658627666999701316,gps,2,0,37.240661,126.7740999,28.763,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.000324,2
1658627667238649209,16916,1658627667199701287,gps,2,0,37.2406641,126.774102,28.78,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.0004,2
1658627667331905953,16917,1658627667299701273,gps,2,0,37.2406656,126.7741031,28.779,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.000361,2
1658627667436270637,16918,1658627667399701259,gps,2,0,37.2406672,126.7741041,28.769,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.000324,2
1658627667543103592,16919,1658627667499701245,gps,2,0,37.2406687,126.7741051,28.769,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.000324,2
1658627667736415507,16920,1658627667699701216,gps,2,0,37.2406719,126.7741073,28.777,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.0004,2
